April	thang Tu
August	thang Tam
February	thang 2
March	thang ba
Yours sincerely	ban chan thanh cua anh, chi.. (viet o cuoi thu)
a bit	mot chut, mot ty
a couple	mot cap, mot doi
a few	mot it, mot vai
a little	nho, mot it
abandon	bo, ruong bo
abandoned	bi bo roi, bi ruong bo
ability	kha nang, nang luc
able	co nang luc, co tai
about	khoang, ve
above	o tren, len tren
abroad	o, ra nuoc ngoai
absent	vang mat
absolute	tuyet doi hoan toan
absorb	thu hut, hap dan
abuse	long hanh, lam dung
academic	thuoc hoc vien, dh, vien han lam
accent	trong am, dau trong am
accept	chap nhan, chap thuan
acceptable	co the chap nhan
access	loi, cua, duong vao
accident	tai nan, rui ro
accidental	tinh co, bat ngo
accommodation	su thich nghi, dieu tiet
accopany	di theo, di cung
according	theo nhu
account	tai khoan, ke toan
accurate	dung dan, chinh xac
accuse	to cao, buoc toi
achieve	dat duoc, gianh duoc
achievement	thanh tich, thanh tuu
acid	axit
acknowledge	cong nhan, thua nhan
acquire	danh duoc, dat duoc
across	qua, ngang qua
act	hanh dong, hanh vi
action	hanh vi, dong tac
active	tich cuc hoat dong, nhanh nhen
actor	dien vien nam
actress	dien vien nu
actual	thuc te, co that
actually	hien nay, hien tai
adapt	tra, lap vao
add	cong, them vao
addition	tinh cong, phep cong
additional	them vao, tang them
address	dia chi, de dia chi
adequate	day, day du
adequately	tuong xung, thoa dang
adjust	sua lai cho dung, dieu chinh
admiration	su kham phuc,nguoi kham phuc, than phuc
admire	kham phuc, than phuc
admit	nhan vao, cho vao, ket hop
adopt	nhan lam con nuoi, bo me nuoi
adult	nguoi lon, nguoi truong thanh; truong thanh
advance	su tien bo, tien len; dua len, de xuat
advanced	tien tien, tien bo, cap cao
advantage	su thuan loi, loi ich, loi the
adventure	su phieu luu, mao hiem
advertise	bao cho biet, bao cho biet truoc
advertisement	quang cao
advertising	su quang cao, nghe quang cao
advice	loi khuyen, loi chi bao
advise	khuyen, khuyen bao, ran bao
affair	viec
affect	lam anh huong, tac dong den
affection	tinh cam, cam xuc
afford	co the, co du kha nang, dieu kien (lam gi)
afraid	so, so hai, hoang so
after	sau, dang sau, sau khi
afternoon	buoi chieu
afterwards	sau nay, ve sau, roi thi, sau day
again	lai, nua, lan nua
against	chong lai, phan doi
age	tuoi
aged	gia di
agency	tac dung, luc; moi gioi, trung gian
agent	dai ly, tac nhan
aggressive	xam luoc, hung hang (US: xong xao)
ago	truoc day
agree	dong y, tan thanh
agreement	su dong y, tan thanh; hiep dinh, hop dong
ahead	truoc, ve phia truoc
aid	su giup do; them vao, phu vao
aim	su nham (ban), muc tieu, y dinh; nham, tap trung, huong vao
air	khong khi, bau khong khi, khong gian
aircraft	may bay, tau bay, khi cau
airport	san bay, phi truong
alarm	bao dong, bao nguy
alarmed	bao dong
alarming	lam lo so, lam hot hoang, lam so hai
alcohol	ruou con
alcoholic	ruou, nguoi nghien ruou
alive	song, van con song, con ton tai
all	tat ca
all	tot, on, khoe manh; duoc
allied	lien minh, dong minh, thong gia
allow	cho phep, de cho
ally	nuoc dong minh, lien minh; lien ket, ket thong gia
almost	hau nhu, gan nhu
alone	co don, mot minh
along	doc theo, theo; theo chieu dai, suot theo
alongside	sat canh, ke ben, doc theo
aloud	lon tieng, to tieng
alphabet	bang chu cai, buoc dau, dieu co ban
alphabetical	thuoc bang chu cai
already	da, roi, da… roi
also	cung, cung vay, cung the
alter	thay doi, bien doi, sua doi
alternative	su lua chon; lua chon
alternatively	nhu mot su lua chon
although	mac du, dau cho
altogether	hoan toan, hau nhu; noi chung
always	luon luon
amaze	lam ngac nhien, lam sung sot
amazedly	kinh ngac, sung sot, het suc ngac nhien
amazing	kinh ngac, sung sot,lam het suc ngac nhien
ambition	hoai bao, khat vong
ambulance	xe cuu thuong, xe cap cuu
among	giua, o giua
amount	so luong, so nhieu; len toi (money)
amusable	co the lam vui duoc, co the giai tri duoc
amuse	lam cho vui, thich, lam buon cuoi,thich thu
amusing	vui, lam cho buon cuoi
analyse	phan tich
analysis	su phan tich
ancient	xua, co
and	va
anger	su tuc gian, su gian du
angle	goc
angrily	tuc gian, gian du
angry	gian, tuc gian
animal	dong vat, thu vat
ankle	mat ca chan
anniversary	ngay, le ki niem
announce	bao, thong bao
annoy	choc tuc, lam buc minh; lam phien, quay nhieu
annoyed	bi kho chiu, buc minh, bi quay ray
annoying	choc tuc, lam buc minh; lam phien, quay nhieu
annual	hang nam, tung nam
annually	hang nam, tung nam
another	khac
answer	su tra loi; tra loi
anticipate	thay truoc, chan truoc, luong truoc
anxiety	moi lo au, su lo lang
anxious	lo au, lo lang, ban khoan
anxiously	lo au, lo lang, ban khoan
any	mot nguoi, vat nao do; bat cu; mot chut nao, ti nao
anyone	nguoi nao, bat cu ai
anything	viec gi, vat gi; bat cu viec gi, vat gi
anyway	the nao cung duoc, du sao chang nua
anywhere	bat cu cho nao, bat cu noi dau
apart	ve mot ben, qua mot ben
apartment	can phong, can buong
apologize	xin loi, ta loi
apparent	ro rang, ranh mach; be ngoai, co ve
apparently	nhin ben ngoai, hinh nhu
appeal	su keu goi, loi keu goi; keu goi, cau khan
appear	xuat hien, hien ra, trinh dien
appearance	su xuat hien, su trinh dien
apple	qua tao
application	su gan vao, vat gan vao; su chuyen can, chuyen tam
apply	gan vao, ghep vao, ap dung vao
appoint	bo nhiem, chi dinh, chon
appointment	su bo nhiem, nguoi duoc bo nhiem
appreciate	thay ro; nhan thuc
approach	den gan, lai gan; su den gan, su lai gan
appropriate	thich hop, thich dang
approval	su tan thanh, dong y, su chap thuan
approve	tan thanh, dong y, chap thuan
approving	tan thanh, dong y, chap thuan
approximate	giong voi, giong het voi
approximately	khoang chung, do chung
area	dien tich, be mat
argue	chung to, chi ro
argument	ly le
arise	xuat hien, nay ra, nay sinh ra
arm	canh tay; vu trang, trang bi (vu khi)
armed	vu trang
arms	vu khi, binh gioi, binh khi
army	quan doi
around	xung quanh, vong quanh
arrange	sap xep, sap dat, sua soan
arrangement	su sap xep, sap dat, su sua soan
arrest	bat giu, su bat giu
arrival	su den, su toi noi
arrive	den, toi noi
arrow	ten, mui ten
art	nghe thuat, my thuat
article	bai bao, de muc
artificial	nhan tao
artist	nghe si
artistic	thuoc nghe thuat, thuoc my thuat
as	nhu
as well as	cung, cung nhu
ashamed	nguong, xau ho
aside	ve mot ben, sang mot ben
asleep	ngu, dang ngu
aspect	ve be ngoai, dien mao
assist	giup, giup do; tham du, co mat
assistance	su giup do
assistant	nguoi giup do, nguoi phu ta; giup do
associate	ket giao, lien ket, ket hop, cho cong tac
associated with	lien ket voi
association	su ket hop, su lien ket
assume	mang, khoac, co, lay (cai ve, tinh chat…)
assure	dam bao, cam doan
at least	it ra, it nhat, chi it
atmosphere	khi quyen
atom	nguyen tu
attach	gan, dan, troi, buoc
attached	gan bo
attack	su tan cong, su cong kich; tan cong, cong kich
attempt	su co gang, su thu; co gang, thu
attempted	co gang, thu
attend	du, co mat
attention	su chu y
attitude	thai do, quan diem
attorney	nguoi duoc uy quyen
attract	hut; thu hut, hap dan
attraction	su hut, suc hut
attractive	hut, thu hut, co duyen, loi cuon
audience	thinh, khan gia
aunt	co, di
author	tac gia
authority	uy quyen, quyen luc
automatic	tu dong
automatically	mot cach tu dong
autumn	mua thu (US: mua thu la fall)
available	co the dung duoc, co gia tri, hieu luc
average	trung binh, so trung binh, muc trung binh
avoid	tranh, tranh xa
awake	danh thuc, lam thuc day
award	phan thuong; tang, thuong
aware	biet, nhan thuc, nhan thuc thay
away	xa, xa cach, roi xa, di xa
awful	oai nghiem, de so
awfully	tan khoc, khung khiep
awkward	vung ve, lung tung
awkwardly	vung ve, lung tung
